File Name,INPUT_1_BuildingNumber,Service Type,Service Category,INPUT_1_FacilityName,INPUT_1_Address,INPUT_2_ Address,Building Number,INPUT_1_Borough,INPUT_1_ZipCode,Latitude2,Longitude2,INPUT_1_Phone2,Column3,INPUT_1_AdditionalInfo2,OUTPUT_BBL,OUTPUT_BIN,OUTPUT_City_Council_District,OUTPUT_Community_District,OUTPUT_NTA_Name,Location
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,101 First Care Pharmacy,126-14 101st Avenue,,,QUEENS,11419,40.69169042,-73.81981848,(718) 880-2346,,<p>Ask a staff member to check your blood pressure.</p>,4094930008,4200828,28,409,Richmond Hill,"(40.69169042, -73.81981848)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Park Chemists,164 5th Avenue,,,BROOKLYN,11217,40.67782085,-73.97951134,(718) 393-5555,,<p>Ask a staff member to check your blood pressure.</p>,3009460054,3019364,39,306,Park Slope-Gowanus,"(40.67782085, -73.97951134)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Hoyt Pharmacy,3024 Atlantic Avenue,,,BROOKLYN,11208,40.67842442,-73.8829579,,,,3039710026,3088376,37,305,East New York,"(40.67842442, -73.8829579)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Manhattan Beach Pharmacy,1224 Avenue U,,,BROOKLYN,11229,40.59848307,-73.95943164,(718) 332-2210,,<p>Ask a staff member to check your blood pressure.</p>,3073440008,3199396,48,315,Homecrest,"(40.59848307, -73.95943164)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Big Apple Drugs,414 Flushing Avenue,,,BROOKLYN,11205,40.69878235,-73.95809011,(718) 260-8999,,<p>Ask a staff member to check your blood pressure.</p>,3018850026,3329794,33,303,Bedford,"(40.69878235, -73.95809011)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Franhill Drugs,204-19 Hillside Avenue,,,QUEENS,11448,40.72041662,-73.76091174,(718) 465-2121,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.72041662, -73.76091174)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,37-66 82nd Street,,,QUEENS,11459,40.74937258,-73.88425478,(718) 507-8056,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.74937258, -73.88425478)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,750 New York Avenue,,,BROOKLYN,11203,40.65539664,-73.94715038,(718) 941-8694,,<p>Ask a staff member to check your blood pressure.</p>,3048370044,3107768,40,317,Erasmus,"(40.65539664, -73.94715038)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,691 Co-Op City Boulevard,,,BRONX,10475,40.87985805,-73.82390645,,,,2051410394,2118946,12,210,Co-op City,"(40.87985805, -73.82390645)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Crest Pharmacy,913 Fulton Street,,,BROOKLYN,11238,40.68342265,-73.96660171,(718) 399-8677,,<p>Ask a staff member to check your blood pressure.</p>,3019770036,3056630,35,302,Clinton Hill,"(40.68342265, -73.96660171)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Hareem Pharmacy,191 Neptune Avenue,,,BROOKLYN,11235,40.58184727,-73.9604678,(718) 368-4336,,<p>Ask a staff member to check your blood pressure.</p>,3072640015,3196510,48,313,Brighton Beach,"(40.58184727, -73.9604678)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Jolin Pharmacy,1870 Grand Concourse,,,BRONX,10457,40.84864315,-73.90667594,(718) 294-5588,,<p>Ask a staff member to check your blood pressure.</p>,2028010025,2007546,15,205,Mount Hope,"(40.84864315, -73.90667594)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Ocean Breeze Pharmacy,1817 Hylan Boulevard,,,STATEN ISLAND,10305,40.58491451,-74.09382175,(718) 987-2525,,,5035380073,5050757,50,502,Old Town-Dongan Hills-South Beach,"(40.58491451, -74.09382175)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,9302 3rd Avenue,,,BROOKLYN,11209,40.61852241,-74.03308834,,,,3061060034,3155211,43,310,Bay Ridge,"(40.61852241, -74.03308834)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Bronx Pharmacy,511 East Tremont Avenue,,,BRONX,10457,40.8467627,-73.89669548,,,,2030430080,2086776,15,206,Claremont-Bathgate,"(40.8467627, -73.89669548)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Medicine Super Store Pharmacy,924 Kings Highway,,,BROOKLYN,11223,40.60691906,-73.96315036,(718) 375-7700,,<p>Ask a staff member to check your blood pressure.</p>,3066660059,3177603,44,315,Homecrest,"(40.60691906, -73.96315036)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Navar Pharmacy,3002 Avenue M,,,BROOKLYN,11210,40.61960932,-73.94535256,(718) 677-5811,,<p>Ask a staff member to check your blood pressure.</p>,3076660042,3210346,45,318,Flatlands,"(40.61960932, -73.94535256)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,CVS Pharmacy,72-09 Northern Boulevard,,,QUEENS,11372,40.75460296,-73.89446756,,,,4011680033,4026458,25,403,Jackson Heights,"(40.75460296, -73.89446756)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,1356 Lexington Avenue,,,MANHATTAN,11651,40.7818702,-73.95385978,(212) 722-0014,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.7818702, -73.95385978)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,8222 18th Avenue,,,BROOKLYN,11214,40.60896162,-74.00054023,,,,3063140072,3164636,43,311,Bensonhurst West,"(40.60896162, -74.00054023)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,2069 Broadway,,,MANHATTAN,11671,40.77839773,-73.98209443,(212) 799-1067,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.77839773, -73.98209443)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,New Rx Pharmacy,42-07 Kissena Boulevard,,,QUEENS,11411,40.75695259,-73.82676654,(347) 368-6681,,<p>Ask a staff member to check your blood pressure.</p>,4051800029,4539608,20,407,Flushing,"(40.75695259, -73.82676654)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,278 Pharmacy,27 East Broadway,,,MANHATTAN,11523,40.71351291,-73.99655513,(212) 227-7666,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.71351291, -73.99655513)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,1710 Crosby Avenue,,,BRONX,10461,40.84568084,-73.83137426,,,,2041700005,2046112,13,210,Pelham Bay-Country Club-City Island,"(40.84568084, -73.83137426)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Esco Drug,687 9th Avenue,,,MANHATTAN,11693,40.7618094,-73.99017768,(212) 246-8169,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.7618094, -73.99017768)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Burke Avenue Pharmacy,759 Burke Avenue,,,BRONX,10467,40.87139908,-73.8646392,(347) 326-6000,,<p>Ask a staff member to check your blood pressure.</p>,2045980004,2056271,15,212,Williamsbridge-Olinville,"(40.87139908, -73.8646392)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,1 Remsen Avenue,,,BROOKLYN,11212,40.66316433,-73.93151526,(718) 953-5084,,<p>Ask a staff member to check your blood pressure.</p>,3045930110,3000000,41,317,Prospect Lefferts Gardens-Wingate,"(40.66316433, -73.93151526)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,49 East 52nd Street,,,MANHATTAN,11570,40.75894141,-73.97426311,(212) 888-2323,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.75894141, -73.97426311)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,185 Kings Highway,,,BROOKLYN,11223,40.60566958,-73.98455024,,,,3066200032,3175318,44,311,Bensonhurst East,"(40.60566958, -73.98455024)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Ellner Plaza II,72-71 Main Street,,,QUEENS,11399,40.72485719,-73.82087214,(718) 261-5608,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.72485719, -73.82087214)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Lumit Pharmacy,200 East 167th Street,,,BRONX,10456,40.83410918,-73.91661978,,,,2024560227,2002757,16,204,East Concourse-Concourse Village,"(40.83410918, -73.91661978)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Greene Community Pharmacy,702 Fulton Street,,,BROOKLYN,11217,40.68605952,-73.97384784,(718) 834-6368,,<p>Ask a staff member to check your blood pressure.</p>,3021150006,3059288,35,302,Fort Greene,"(40.68605952, -73.97384784)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Kruticks Pharmacy,589 Crescent Street,,,BROOKLYN,11208,40.67348028,-73.86951627,,,,3042520001,3095490,42,305,East New York,"(40.67348028, -73.86951627)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,1279 3rd Avenue,,,MANHATTAN,11580,40.77076443,-73.95984979,(212) 744-2668,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.77076443, -73.95984979)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Med Pharmacy,264 Malcolm X Boulevard,,,BROOKLYN,11233,40.68397662,-73.92928357,,,,3016660042,3046513,36,303,Stuyvesant Heights,"(40.68397662, -73.92928357)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,CVS Pharmacy,1241 Lexington Avenue,,,MANHATTAN,10028,40.77826461,-73.95646562,,,,1015130020,1047674,05,108,Upper East Side-Carnegie Hill,"(40.77826461, -73.95646562)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,King Community Pharmacy,161 Dreiser Loop,,,BRONX,10475,40.8769738,-73.82967457,(347) 899-8020,,<p>Ask a staff member to check your blood pressure.</p>,2051410500,2097469,12,210,Co-op City,"(40.8769738, -73.82967457)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Salaam Pharmacy,155 Crystal Street,,,BROOKLYN,11208,40.84638227,-73.93585839,(718) 484-8157,,,3042300011,3402356,42,305,East New York,"(40.84638227, -73.93585839)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,1516 Westchester Avenue,,,BRONX,10472,40.82855095,-73.87937927,,,,2037390043,2023833,17,209,Soundview-Bruckner,"(40.82855095, -73.87937927)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,80th Street Pharmacy,8014 18th Avenue,,,BROOKLYN,11214,40.61037243,-73.99903477,(718) 236-2747,,<p>Ask a staff member to check your blood pressure.</p>,3062840050,3163298,43,311,Bensonhurst West,"(40.61037243, -73.99903477)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,55 East 55th Street,,,MANHATTAN,11571,40.7607883,-73.97282209,(212) 750-9095,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.7607883, -73.97282209)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,54-11 Myrtle Avenue,,,QUEENS,11385,40.69960053,-73.91057837,(718) 386-6692,,<p>Ask a staff member to check your blood pressure.</p>,4034450009,4082329,34,405,Ridgewood,"(40.69960053, -73.91057837)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Astoria Pharmacy,30-14 30th Avenue,,,QUEENS,11102,40.76716029,-73.92199274,(718) 278-3772,,<p>Ask a staff member to check your blood pressure.</p>,4005930027,4007650,22,401,Astoria,"(40.76716029, -73.92199274)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,McGraw Pharmacy,2048 McGraw Avenue,,,BRONX,10462,40.83537299,-73.85666839,(718) 684-4512,,,2039320170,2028964,18,209,Parkchester,"(40.83537299, -73.85666839)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Hispaniola Pharmacy,411 East 138th Street,,,BRONX,10454,40.80880654,-73.92217132,,,,2022830001,2092092,08,201,Mott Haven-Port Morris,"(40.80880654, -73.92217132)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Century Pharmacy,302a Grand Street,,,MANHATTAN,11544,40.71751179,-73.9917246,(212) 925-3838,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.71751179, -73.9917246)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Get Well Pharmacy,5218 8th Avenue,,,BROOKLYN,11220,40.63983758,-74.00504447,(718) 686-0812,,<p>Ask a staff member to check your blood pressure.</p>,3008100047,3014106,38,307,Sunset Park East,"(40.63983758, -74.00504447)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Pharmacy World,200-11 Hollis Avenue,,,QUEENS,11412,40.70617183,-73.75728408,(718) 217-8230,,<p>Ask a staff member to check your blood pressure.</p>,4109000028,4233200,27,412,Hollis,"(40.70617183, -73.75728408)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,MSN Rx,86-12 37th Avenue,,,QUEENS,11470,40.75014536,-73.88037355,(718) 803-3888,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.75014536, -73.88037355)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Fine Care Pharmacy,4721 13th Avenue,,,BROOKLYN,11219,40.63596995,-73.99111864,(718) 438-6555,,<p>Ask a staff member to check your blood pressure.</p>,3056290001,3137227,44,312,Borough Park,"(40.63596995, -73.99111864)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Prospect Drugs,94 Greene Avenue,,,BROOKLYN,11238,40.68640397,-73.96833816,(718) 783-0890,,<p>Ask a staff member to check your blood pressure.</p>,3019600034,3055973,35,302,Clinton Hill,"(40.68640397, -73.96833816)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Metrocare Pharmacy,21-12b 36th Avenue,,,QUEENS,11512,40.75976941,-73.93658104,(718) 606-0068,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.75976941, -73.93658104)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Nextgen Pharmacy,2483 86th Street,,,BROOKLYN,11214,40.59811903,-73.98750836,(718) 676-9191,,,3068590043,3185375,47,311,Bensonhurst East,"(40.59811903, -73.98750836)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,3012 3rd Avenue,,,BRONX,10455,40.81932932,-73.91368659,,,,2023630024,2117395,17,201,Melrose South-Mott Haven North,"(40.81932932, -73.91368659)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,47-07 Broadway,,,QUEENS,11103,40.75627379,-73.91325245,,,,4007260001,4013205,26,401,Astoria,"(40.75627379, -73.91325245)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,320 West 145th Street,,,MANHATTAN,11631,40.82330282,-73.94306732,(212) 939-0941,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.82330282, -73.94306732)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Healthmax Pharmacy,5313 Fifth Avenue,,,BROOKLYN,11220,40.64328174,-74.01219384,(718) 567-8000,,<p>Ask a staff member to check your blood pressure.</p>,3008160001,3337313,38,307,Sunset Park East,"(40.64328174, -74.01219384)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,City Pharmacy,133-58 41st Road,,,QUEENS,11394,40.75705637,-73.83009068,(718) 888-9483,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.75705637, -73.83009068)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,39-20 Bell Boulevard,,,QUEENS,11361,40.76500005,-73.77173993,,,,4062370001,4458114,19,411,Bayside-Bayside Hills,"(40.76500005, -73.77173993)"
